title,address,longitude,latitude,coord_type,,income,jobname,url
上海乐蜀网络科技股份有限公司,上海市静安区江场路1228弄20号9楼（中融信托大厦）,121.454756,31.235381,3,,1.2-1.8万/月,PHP开发工程师（游戏）,http://jobs.51job.com/all/co3061325.html
上海众龙实业有限公司,闸北区恒丰路436号环智国际大厦1504,121.460956,31.250425,3,,1-3万/月,PHP开发工程师,http://jobs.51job.com/all/co3647913.html
上海世途信息科技有限公司,上海市闵行区吴中路1439号A栋7楼,121.378686,31.178051,3,,1-3万/月,高级PHP开发工程师,http://jobs.51job.com/all/co4054698.html
上海指南针信息技术有限公司,上海市闵行区黎安路1187号5号楼2楼,121.363288,31.128158,3,,0.8-1万/月,PHP网站开发工程师,http://jobs.51job.com/all/co3938997.html
上海鱼耀金融信息服务有限公司,上海市长宁区临虹路168弄6号楼5楼,121.358167,31.237964,3,,1.5-2万/月,高级PHP开发工程师,http://jobs.51job.com/all/co3831923.html
上海金大师互联网金融信息服务有限...,上海市,121.480237,31.236305,3,,1.5-2万/月,PHP工程师,http://jobs.51job.com/all/co3036769.html
维果部落·天使之橙,虹口区溧阳路735号3105室,121.495984,31.260951,3,,1-1.5万/月,PHP中/高级工程师,http://jobs.51job.com/all/co3392663.html
上海二三四五网络科技有限公司,上海市浦东新区亮秀路112号Y2座9楼,121.609929,31.204723,3,,1.5-2.2万/月,高级PHP开发工程师,http://jobs.51job.com/all/co2769320.html
畅移（上海）信息科技有限公司,徐汇区宜山路700号普天软件园B2楼502,121.424576,31.181352,3,,1-1.5万/月,PHP工程师,http://jobs.51job.com/all/co3313917.html
美味不用等,祖冲之路899号,121.600654,31.209753,3,,1.5-2万/月,PHP中级开发工程师,http://jobs.51job.com/all/co3726486.html
烟台欣和企业食品有限公司,山东烟台开发区长江路77号中信大厦,121.248930,37.570080,3,,1.5-2.5万/月,PHP开发工程师,http://jobs.51job.com/all/co2550363.html
上海蚁城网络科技有限公司,上海市徐汇区钦州南路71号科技出版大楼9楼,121.436073,31.167312,3,,1.3-2万/月,PHP高级开发工程师,http://jobs.51job.com/all/co2275288.html
安生教育集团,西藏中路336号华旭大厦19楼,121.482709,31.239696,3,,0.8-1.2万/月,PHP开发工程师,http://jobs.51job.com/all/co3341809.html
携车网,上海市闵行区双柏路1299弄,121.448836,31.095763,3,,1.4-2.8万/月,高级PHP开发工程师,http://jobs.51job.com/all/co4082118.html
苏商建设集团有限公司,浦东大道720号国际航运金融大厦28层,121.531342,31.245724,3,,1-1.5万/月,PHP开发工程师,http://jobs.51job.com/all/co3270847.html
亚汇（上海）金融信息服务有限公司,陆家嘴浦东大道1号中国船舶大厦5A,121.517606,31.244435,3,,1-3万/月,高级PHP开发工程师,http://jobs.51job.com/all/co2294765.html
上海微众信息科技有限公司,上海市龙华东路647号5F,121.482634,31.200444,3,,1.5-2万/月,PHP开发工程师,http://jobs.51job.com/all/co2805657.html
江苏德客易行网络科技有限公司上海...,嘉定区天祝路789弄2号803室,121.267743,31.352681,3,,1-2万/月,php软件工程师,http://jobs.51job.com/all/co3993095.html
上海鸿维信息技术有限公司,上海市闵行区沪青平公路319弄51号B栋2楼,121.354436,31.183181,3,,1-1.5万/月,PHP高级开发工程师,http://jobs.51job.com/all/co2232932.html
上海方付通商务服务有限公司,上海浦东民生路1286号汇商大厦11、14、17楼,121.555530,31.230888,3,,1.5-3万/月,PHP运维开发,http://jobs.51job.com/all/co2545539.html
上海医普拉斯网络科技有限公司,闵行区虹许路528号尼克互盛大厦701~702室,121.399641,31.193705,3,,1-1.5万/月,PHP中级开发工程师,http://jobs.51job.com/all/co4233540.html
中欧商业在线,上海市浦东新区红枫路699号中欧国际工商学院,121.603301,31.243023,3,,1.8-2.5万/月,高级PHP开发工程师,http://jobs.51job.com/all/co2154277.html
联络互动,北京市朝阳区东三环中路25号 住总集团大厦9层(总部）,116.408059,40.001454,3,,1-2万/月,PHP工程师,http://jobs.51job.com/all/co2343195.html
上海大途弘安信息科技有限公司,军工路100号,121.564469,31.288058,3,,1.5-2.5万/月,PHP高级开发工程师,http://jobs.51job.com/all/co3430357.html
上海天谷源健康科技有限公司,上海市长宁区江苏路369号兆丰世贸大厦,121.438021,31.225314,3,,0.8-1.6万/月,PHP开发工程师,http://jobs.51job.com/all/co3697709.html
上海游讯信息科技有限公司,嘉定区安亭,121.170744,31.300196,3,,1-1.8万/月,PHP工程师,http://jobs.51job.com/all/co2947616.html
上海点美投资咨询有限公司,闵行区漕宝路1243号勇卫商务大厦510,121.398513,31.165959,3,,1-1.5万/月,PHP高级开发主管,http://jobs.51job.com/all/co4301625.html
上海三个桩信息科技有限公司,上海市中山西路1279弄国峰科技大厦4楼,121.427043,31.198271,3,,1.2-1.8万/月,高级PHP开发工程师,http://jobs.51job.com/all/co3933936.html
游久时代（北京）科技有限公司,上海市桂林路406号华鑫中心7号楼,121.422498,31.179285,3,,1.5-2万/月,PHP开发工程师,http://jobs.51job.com/all/co2797906.html
上海多聚智能科技有限公司,普陀区长寿路1076号1505室,121.434762,31.238373,3,,0.6-1.5万/月,php程序员,http://jobs.51job.com/all/co3486093.html
亚松电子商务（上海）有限公司,上海市闸北区天目西路188号7楼702室,121.457144,31.253522,3,,0.9-2万/月,PHP高级工程师,http://jobs.51job.com/all/co3920077.html
千城智联（上海）网络科技有限公司,上海市长宁区仙霞路350号科创楼,121.402801,31.211379,3,,0.8-1.6万/月,PHP工程师,http://jobs.51job.com/all/co136136.html
创络（上海）数据科技有限公司,上海市徐汇区淮海路1010号嘉华中心1705-1706室,121.464710,31.221702,3,,20-30万/年,PHP开发工程师/软件开发工程师（企业应用平台）,http://jobs.51job.com/all/co2883740.html
title,address,longitude,latitude,coord_type,,income,jobname,url
速珂智能科技（上海）有限公司,上海市青浦区沪青平公路3938弄,121.193736,31.152994,3,,1.2-2万/月,高级php工程师,http://jobs.51job.com/all/co3925253.html
波士易客(上海)信息科技有限公司,浦东新区张江高科达尔文路88号半岛科技园15号楼1层,121.591457,31.199307,3,,1-2万/月,PHP工程师,http://jobs.51job.com/all/co3778715.html
上海智位机器人股份有限公司,上海浦东新区亮秀路112号Y1座615室,121.609487,31.204816,3,,1.5-3万/月,高级PHP工程师,http://jobs.51job.com/all/co3891546.html
上海幽然实业有限公司,上海市浦东新区新金桥路1295号1号楼501室,121.606014,31.255349,3,,1.2-1.5万/月,PHP开发,http://jobs.51job.com/all/co3090942.html
上海云经邦教育投资有限公司,杨浦区国宾路18号万达广场A座13-14楼,121.518348,31.308114,3,,1-1.5万/月,php工程师,http://jobs.51job.com/all/co561907.html
上海优幼母婴用品有限公司,上海市长宁区中山西路1279弄阿拉小优总部,121.426684,31.198304,3,,1.3-1.8万/月,PHP高级开发工程师,http://jobs.51job.com/all/co2570575.html
上海乾生乾金融信息服务有限公司,上海长宁区淞虹路207号明基广场C座2楼,121.366994,31.226527,3,,1.5-2.5万/月,后端开发工程师（php）,http://jobs.51job.com/all/co3482889.html
八维宏烨（上海）信息科技有限公司,上海市奉贤区海湾镇农工商大道228号2幢1785室,121.573875,30.863212,3,,1.5-2万/月,PHP实训项目经理,http://jobs.51job.com/all/co4091915.html
上海斐讯数据通信技术有限公司,深圳市南山区科技北一路17号摩比大厦5楼,0.000000,0.000000,3,,1.5-2万/月,PHP软件开发工程师,http://jobs.51job.com/all/co297254.html
上海华铭智能终端设备股份有限公司,上海市松江区茸北工业区茸梅路895号,121.252185,31.052799,3,,1.5-2.3万/月,PHP软件开发工程师,http://jobs.51job.com/all/co468632.html
平安国际融资租赁有限公司,上海市浦东新区世纪大道8号 国金中心2期37F,121.509684,31.241703,3,,1-1.5万/月,系统研发岗（PHP）-移动开发二团队,http://jobs.51job.com/all/co2841999.html
上海兰沙信息技术有限公司,三门路561号,121.494949,31.317366,3,,1.3-1.8万/月,PHP高级开发工程师,http://jobs.51job.com/all/co4503493.html
上海金枢信息科技有限公司,半岛科技园江场三路228号1007室,121.442859,31.300743,3,,1-1.5万/月,PHP高级工程师,http://jobs.51job.com/all/co3547577.html
上海长宁国际学校,上海市虹桥路1161号,121.415556,31.203668,3,,1.5-2万/月,PHP开发工程师,http://jobs.51job.com/all/co243503.html
上海锐私信息科技有限公司,上海市黄浦区打浦路15号3601室,121.477650,31.210479,3,,1-2万/月,PHP程序员（实习亦可）,http://jobs.51job.com/all/co3750983.html
上海六谷信息科技有限公司,上海市闸北区共和路219号企业公馆（T3）1001,121.465045,31.250850,3,,1-1.9万/月,技术经理 （PHP，Yii2）,http://jobs.51job.com/all/co3784515.html
上海闪店联信息科技有限公司,上海市杨浦区军工路100号运河湾创意园区15栋2楼,121.487022,31.272578,3,,1.4-2万/月,高级PHP工程师,http://jobs.51job.com/all/co3714431.html
上海云行网络科技有限公司,上海杨浦区鞍山五村49号院磨石创意产业园1楼,121.455794,31.254456,3,,1.5-2万/月,急招兼职   PHP程序员手机app开发,http://jobs.51job.com/all/co3716531.html
广州登客网互联网科技有限公司,广州市白云区永泰永平泰兴路4号恒企大厦2楼人力资源部,113.310576,23.224761,3,,1-1.5万/月,上市公司高薪急招PHP开发工程师,http://jobs.51job.com/all/co4184357.html
上海隆麟网络技术有限公司,上海市徐汇区漕河泾开发区古美路1528号现代服务园区B幢2楼,121.404895,31.170610,3,,1.5-2万/月,PHP工程师,http://jobs.51job.com/all/co3530641.html
上海锐诩企业管理有限公司,上海市徐汇区宜山路700号B3栋北5楼,121.425021,31.181403,3,,1.5-2万/月,PHP技术经理,http://jobs.51job.com/all/co3416040.html
百度在线网络技术（北京）有限公司,北京市海淀区上地十街10号百度大厦,116.448276,39.915172,3,,2.5-3万/月,移动应用部_资深PHP研发工程师,http://jobs.51job.com/all/co112266.html
我查查信息技术（上海）有限公司,上海市张江高科技园区盛夏路560号7层,121.633196,31.214049,3,,1.5-2.5万/月,高级PHP工程师,http://jobs.51job.com/all/co2435245.html
鸥美药妆集团,上海市徐汇区肇嘉浜路366号裕华大厦3楼,121.464882,31.209234,3,,0.8-1.3万/月,PHP开发工程师,http://jobs.51job.com/all/co1294873.html
上海容易网电子商务有限公司,上海市徐汇区漕溪北路88号圣爱大厦25楼,121.443460,31.198252,3,,1-1.5万/月,PHP研发工程师,http://jobs.51job.com/all/co2780723.html
华地文化（上海）有限公司,上海市浦东新区东方路3698号,121.513777,31.195138,3,,1-1.5万/月,PHP开发工程师,http://jobs.51job.com/all/co3887578.html
上海通士电气有限公司,漕河泾开发区 浦江高科技园区 新骏环路188号5幢201室,121.524969,31.098100,3,,0.8-1.5万/月,PHP开发工程师,http://jobs.51job.com/all/co2660747.html
文思海辉技术有限公司Pactera Tec...,北京市海淀区上地东路一号环洋大厦,116.308774,40.060009,3,,1-1.5万/月,PHP开发工程师,http://jobs.51job.com/all/co2204116.html
上海推佳网络科技有限公司,嘉定区佳通路31弄2号楼1103,121.328418,31.302927,3,,0.7-1万/月,PHP开发工程师,http://jobs.51job.com/all/co4264395.html
上海众戴金融信息服务有限公司,上海市长宁区仙霞路333号东方维京大厦3楼B2,121.405313,31.212305,3,,1.2-1.5万/月,PHP工程师,http://jobs.51job.com/all/co3299685.html
上海睿本金融信息服务有限公司,浦东新区浦东南路855号25楼E-H座（地铁2号线东昌路站）,121.521449,31.238385,3,,1-1.8万/月,PHP高级工程师,http://jobs.51job.com/all/co3279387.html
北京高朋团科技有限责任公司,闵行区虹许路528号尼克互盛大楼701室,121.399631,31.193565,3,,1-1.5万/月,PHP开发工程师,http://jobs.51job.com/all/co3714373.html
上海奥狮网络科技有限公司,上海市普陀区谈家渡路28号盛泉商务大厦19H,121.428315,31.240746,3,,1-1.5万/月,资深php工程师,http://jobs.51job.com/all/co2566945.html
上海优宁维生物科技股份有限公司,上海浦东古丹路15号(财富新场)16号楼,121.650682,31.079548,3,,0.8-1.2万/月,PHP开发工程师,http://jobs.51job.com/all/co1756350.html
名品导购网（mplife.com）,上海市天目西路511号锦程大厦11,121.457865,31.252513,3,,1-1.5万/月,PHP工程师,http://jobs.51job.com/all/co271085.html
快宝（上海）网络技术有限公司,上海市长宁区通协路269号建滔广场6号楼6楼A单元,121.363412,31.231497,3,,1.5-2万/月,php高级开发工程师,http://jobs.51job.com/all/co2927389.html
上海抱元网络科技有限公司,上海市普陀区中山北路1961号2楼近镇坪路,121.436958,31.255060,3,,1.2-3万/月,web前端开发php经验,http://jobs.51job.com/all/co4215941.html
上海狂热网络科技有限公司,上海市浦东新区盛夏路500弄2号楼5楼,121.640018,31.201780,3,,1.5-2.5万/月,php高级开发工程师,http://jobs.51job.com/all/co3028546.html
上海玮舟微电子科技有限公司,上海市浦东张江碧波路690号5号楼2楼,121.588523,31.206206,3,,1.5-2万/月,PHP高级开发工程师,http://jobs.51job.com/all/co168499.html
远丰仁商软件技术（上海）有限公司,北京市海淀区中关村东升科技园D3-306,116.363741,40.050198,3,,0.8-1万/月,PHP项目经理,http://jobs.51job.com/all/co3934353.html
上海汇讯通文化传播有限公司,长宁区剑河路,121.383171,31.195043,3,,0.8-1.6万/月,PHP互联网开发工程师,http://jobs.51job.com/all/co3345410.html
上海猫诚电子商务股份有限公司,徐汇区中山西路2020号华宜大厦1号楼801室,121.433321,31.188178,3,,1.5-2万/月,PHP软件工程师（高薪聘请）,http://jobs.51job.com/all/co2778102.html
上海锋趣网络科技有限公司,上海市浦东新区博霞路35号,121.609902,31.206577,3,,1-1.5万/月,PHP开发工程师,http://jobs.51job.com/all/co4254980.html
上海煌亦全贸易有限公司,上海市浦东新区万祥镇振兴路18号,0.000000,0.000000,3,,1.5-2.5万/月,PHP高级开发工程师,http://jobs.51job.com/all/co4275977.html
上海最会保网络科技有限公司,上海市浦东新区锦绣路1650弄12号3302室,121.547499,31.217118,3,,1.5-2.5万/月,PHP高级开发工程师,http://jobs.51job.com/all/co3847424.html
云图起势（上海）科技有限公司,上海市徐汇区中山南二路107号10楼C座,0.000000,0.000000,3,,1.5-2万/月,PHP高级开发工程师,http://jobs.51job.com/all/co4443403.html
众智融金（北京）资产管理有限公司,北京市朝阳区酒仙桥路52号院东方科技园1号楼A座,116.501161,39.969294,3,,1-2万/月,php研发工程师,http://jobs.51job.com/all/co4086671.html
上海寰际教育科技有限公司,长宁路1189号来福士广场T2楼19楼,121.420894,31.223487,3,,1.5-2万/月,PHP软件工程师,http://jobs.51job.com/all/co4093383.html
上海墅假网络科技有限公司,上海市浦东新区张江高科技园区博霞路22号305室,121.609432,31.206781,3,,1.5-2万/月,PHP高级工程师,http://jobs.51job.com/all/co3573675.html
上海秋博信息科技有限公司,浦东新区祖冲之路2290弄1号楼2010室,121.634066,31.215975,3,,1.5-3万/月,高级PHP开发工程师,http://jobs.51job.com/all/co4407437.html
title,address,longitude,latitude,coord_type,,income,jobname,url
西十区,上海市虹口区欧阳路196号（法兰桥创意园区）10号楼301室,121.494682,31.272542,3,,1.5-1.8万/月,高级PHP开发工程师,http://jobs.51job.com/all/co2716782.html
途虎养车网,梅富路228号春申创意园B栋512,121.424219,31.114653,3,,1.5-2万/月,PHP工程师,http://jobs.51job.com/all/co2928033.html
上海弘又升投资咨询有限公司,福建中路225号16-17楼,121.487602,31.240111,3,,1-2万/月,高级PHP工程师,http://jobs.51job.com/all/co3645376.html
上海大智慧股份有限公司,上海市浦东杨高南路428号由由世纪广场 1号楼,121.541837,31.222907,3,,1-2万/月,PHP开发工程师（上海龙软招聘),http://jobs.51job.com/all/co1422755.html
上海灵娱网络科技有限公司,上海市宝山区沪太路2999号,121.415572,31.321585,3,,1-1.5万/月,php运维开发工程师,http://jobs.51job.com/all/co2779631.html
上海恺英网络科技有限公司,上海市闵行区陈行路2388号浦江科技广场3号楼3楼,121.513264,31.103267,3,,2-2.5万/月,资深php工程师,http://jobs.51job.com/all/co2371207.html
上海春景信息科技有限公司,上海市徐汇区虹漕路461号漕河泾软件大厦8楼E座,121.413627,31.184551,3,,1.5-2万/月,PHP高级开发工程师,http://jobs.51job.com/all/co4262568.html
北京车音网科技有限公司,北京市东城区和平里东街11号航星园2号楼东段1层/北京市东城区东单三条8-16号，东方广场东配楼8层,116.428624,39.957934,3,,1.5-2万/月,PHP工程师,http://jobs.51job.com/all/co2649742.html
上海百胜软件股份有限公司,浦东新区峨山路91弄100号陆家嘴软件园2号楼5楼,121.538393,31.220771,3,,1-1.9万/月,PHP中级开发工程师,http://jobs.51job.com/all/co150797.html
上海挚想科技有限公司,上海徐汇区天钥桥路580号星游城6楼6006室,121.449244,31.191607,3,,1.5-2万/月,PHP开发工程师,http://jobs.51job.com/all/co4414228.html
北京莱威尼能源科技有限公司,上海,116.459397,39.938798,3,,1-1.5万/月,PHP工程师（上海）,http://jobs.51job.com/all/co2850255.html
上海兴岩信息科技有限公司,上海市闸北区,121.465963,31.253373,3,,1-1.5万/月,PHP开发工程师,http://jobs.51job.com/all/co3806141.html
宇博信诚（北京）信息技术有限公司,0,0.000000,0.000000,3,,1-1.5万/月,PHP开发工程师-浦东,http://jobs.51job.com/all/co2154079.html
上海迪诺克新材料科技有限公司,工厂：上海市青浦区漕盈路3399；公司：上海市浦东新区民生路1399号609室,121.557106,31.230357,3,,0.8-1.5万/月,PHP开发工程师（后端）,http://jobs.51job.com/all/co2887589.html
上海饭米力信息科技有限公司,浦东新区张江高科科苑路151号,121.594681,31.215900,3,,1-1.5万/月,PHP后台工程师,http://jobs.51job.com/all/co3321115.html
深圳市腾讯计算机系统有限公司,深圳市高新科技园南区高新南一道飞亚达大厦10楼,113.958883,22.544583,3,,,19332-高级PHP开发工程师（上海）,http://jobs.51job.com/all/co123056.html
江苏万圣广告传媒有限公司,上海市普陀区云岭路235号3号楼,121.377783,31.234509,3,,1-1.5万/月,PHP中级开发工程师,http://jobs.51job.com/all/co3635191.html
上海谦玛网络科技股份有限公司,普陀区新村路423弄46号绿地威科407－408室,121.435107,31.271962,3,,0.8-1.5万/月,高级PHP开发工程师,http://jobs.51job.com/all/co3020471.html
服家（上海）网络科技有限公司,徐汇区漕宝路121号1号楼3楼,121.414730,31.170124,3,,0.8-1万/月,PHP,http://jobs.51job.com/all/co3621210.html
上海世康实业股份有限公司,虹口区吴淞路218号宝矿国际大厦2501A/2303,121.497594,31.254168,3,,0.9-1.2万/月,PHP开发工程师,http://jobs.51job.com/all/co3889487.html
上海百脑汇电子信息有限公司,上海市徐汇区中山西路1600号宏汇国际广场23楼,121.428392,31.193109,3,,0.8-1万/月,PHP开发,http://jobs.51job.com/all/co9636.html
上海中晨电子商务股份有限公司,虹口区欧阳路568号庐迅大厦17楼,121.492727,31.279494,3,,0.7-1.5万/月,PHP开发工程师,http://jobs.51job.com/all/co3354301.html
上海建朗信息科技有限公司,上海市杨浦区政立路477号创智天地科技中心2号楼13层,121.514551,31.315106,3,,0.9-1.6万/月,PHP开发工程师,http://jobs.51job.com/all/co2546072.html
搜股（北京）科技有限公司,上海市浦东新区金科路2889弄长泰广场C座804室,121.607876,31.212035,3,,1.5-2.5万/月,PHP开发工程师,http://jobs.51job.com/all/co3879083.html
蜘蛛行网络科技有限公司,闵行区申长路988弄虹桥万科中心T1-701,121.321077,31.202949,3,,1.5-2.3万/月,PHP资深工程师(SE),http://jobs.51job.com/all/co3837840.html
上海新实数码科技股份有限公司,浦东新区福山路33号建工大厦24层C座,121.531721,31.244634,3,,0.9-2万/月,PHP工程师,http://jobs.51job.com/all/co2749095.html
上海德艺网络科技有限公司,合川路3111号B座9楼,121.386509,31.184844,3,,1-2万/月,PHP高级工程师,http://jobs.51job.com/all/co2402331.html
通联商务服务有限公司,浦东新区杨高南路799号陆家嘴世纪金融广场3号楼8层,121.541170,31.219996,3,,15-20万/年,高级PHP工程师,http://jobs.51job.com/all/co3179254.html
酒店哥哥,上海市徐汇区宜山路425号光启城2206,121.435530,31.189765,3,,1.2-2万/月,高级php开发工程师,http://jobs.51job.com/all/co3731205.html
上海三凯建设管理咨询有限公司,杨浦区松花江路251号1号楼301室,121.542577,31.298912,3,,1.5-2.5万/月,PHP后端数据开发工程师,http://jobs.51job.com/all/co2105219.html
上海莱豪网络科技发展有限公司,徐汇区新漕河泾国际商务中心16楼1604,121.410404,31.169820,3,,1.5-2万/月,PHP后台运营系统主程,http://jobs.51job.com/all/co4240837.html
上海安璞信息技术有限公司,上海市长宁区长峰中心,121.437300,31.217882,3,,1.5-2.2万/月,PHP开发工程师,http://jobs.51job.com/all/co4382573.html
上海韩创网络科技有限公司,浦东新区东方路3539号东方尚博创意产业园区,121.518156,31.195539,3,,1-1.5万/月,PHP工程师（中级）,http://jobs.51job.com/all/co4081797.html
上海有大信息科技有限公司,仙霞路350号科创楼310室,121.403151,31.211364,3,,1-1.5万/月,PHP后台开发工程师,http://jobs.51job.com/all/co3896460.html
北京人和创建信息技术有限公司,北京市昌平区回龙观东大街338号创客广场A座501室,116.358091,40.086408,3,,0.9-1.2万/月,PHP开发工程师,http://jobs.51job.com/all/co2035767.html
分众传媒,（上海总部）江苏路369号兆丰世贸大厦28-30层,121.516885,31.241235,3,,1.5-2.5万/月,PHP高级开发工程师,http://jobs.51job.com/all/co2650799.html
上海网鲸科技有限公司,上海市徐汇区漕溪路196号汇阳广场20楼B15,121.440142,31.180550,3,,1-1.5万/月,php开发,http://jobs.51job.com/all/co3942270.html
上海分众软件技术有限公司,江苏路369号27楼,121.438021,31.225307,3,,1-2万/月,PHP开发工程师,http://jobs.51job.com/all/co3567752.html
上海杰奕信息技术有限公司,上海市虹口区武进路四川北路,121.492308,31.250146,3,,6-8千/月,高级PHP软件工程师（3-4年相关工作经验）,http://jobs.51job.com/all/co3957850.html
下蛋公鸡,高薪区天府软件园D区,104.081476,30.545423,3,,1.4-1.5万/月,HTML5/C#/C++/Java/Go/PHP/DBA/运维/测试/高级工程师,http://jobs.51job.com/all/co3897808.html
上海商会网网络集团股份有限公司,长宁区延安西路1358号迎龙大厦2号楼3层C座,121.430983,31.215903,3,,1-1.5万/月,PHP高级开发工程师,http://jobs.51job.com/all/co1216329.html
上海银来投资（集团）有限公司,东方路710号24楼,121.536269,31.217826,3,,1.3-2万/月,高级PHP程序员,http://jobs.51job.com/all/co3571118.html
筑客网络技术（上海）有限公司,黄浦区蒙自路360号3号楼4楼,121.485235,31.209363,3,,1-2万/月,PHP网站开发人员,http://jobs.51job.com/all/co3945020.html
上海联充网络科技有限公司,上海市桂平路680号33幢526室,121.408887,31.179949,3,,2-2.5万/月,高级PHP开发工程师（项目管理）,http://jobs.51job.com/all/co3694210.html
上海五和文化传播有限公司,上海普陀区曹杨路450号和创大厦702室,121.426295,31.243075,3,,1-1.5万/月,高级PHP开发工程师,http://jobs.51job.com/all/co2609835.html
传音控股上海研发中心,上海浦东新区郭守敬路433号1号楼-传音控股,121.604198,31.216815,3,,20-30万/年,PHP开发工程师,http://jobs.51job.com/all/co2829279.html
上海品峥信息科技有限公司,上海浦东新区龙阳路2277号永达国际大厦1503,121.569519,31.211529,3,,1.5-2万/月,PHP后台,http://jobs.51job.com/all/co4116737.html
上海威狐网络科技有限公司,嘉定区嘉罗公路336号科创大厦723室,121.273097,31.408976,3,,1.5-2.5万/月,PHP开发工程师,http://jobs.51job.com/all/co4453103.html
上海包联策划设计有限公司,上海市黄陂南路700号D座6层,121.483500,31.220290,3,,0.8-1.2万/月,PHP/ASP工程师,http://jobs.51job.com/all/co498322.html
上海珍岛信息技术有限公司,上海市虹口区水电路682号 天虹商务大厦 6F.7F.16F.17F（近广灵二路 注:可广灵二路281号门进入）,121.481426,31.289072,3,,15-20万/年,高级PHP开发工程师（急聘）,http://jobs.51job.com/all/co2358750.html
title,address,longitude,latitude,coord_type,,income,jobname,url
上海美莱投资管理有限公司,上海市长宁区延安西路789号,121.440768,31.220054,3,,1-1.5万/月,微信开发高级工程师（PHP）,http://jobs.51job.com/all/co4042536.html
上海唐艾文化传播有限公司,静安区延平路135号3楼,121.447074,31.235693,3,,1-1.5万/月,PHP后端工程师,http://jobs.51job.com/all/co3091763.html
上海凯匠网络科技有限公司,闵行区新源路1356号汇力得产业园区C座,121.404268,31.054114,3,,1.5-2.5万/月,PHP工程师,http://jobs.51job.com/all/co4283770.html
花笙记,上海市长宁区仙霞路99号尚嘉中心,121.413590,31.211776,3,,1-1.9万/月,PHP开发项目技术合伙人（代招）,http://jobs.51job.com/all/co2573899.html
上海梅歌文化传播有限公司,上海市徐汇区云锦路绿地汇中心,121.464567,31.171290,3,,1.5-2万/月,PHP工程师,http://jobs.51job.com/all/co2286477.html
